condition	sample
CS1910121069	CS1910121069-2
CS1910121069	CS1910121069-3
CS1910121105	CS1910121105-1
CS1910121105	CS1910121105-2
CS1910121105	CS1910121105-3
CS1910121009	CS1910121009-1
CS1910121009	CS1910121009-2
CS1910121009	CS1910121009-3
CS1910121055	CS1910121055-1
CS1910121055	CS1910121055-2
CS1910121055	CS1910121055-3
CS1910121023	CS1910121023-1
CS1910121023	CS1910121023-2
CS1910121023	CS1910121023-3
CS1910121032	CS1910121032-1
CS1910121032	CS1910121032-2
CS1910121032	CS1910121032-3
CS1910121073	CS1910121073-1
CS1910121073	CS1910121073-2
CS1910121073	CS1910121073-3
CS1910121015	CS1910121015-1
CS1910121015	CS1910121015-2
CS1910121015	CS1910121015-3
CS1910121007	CS1910121007-1
CS1910121007	CS1910121007-2
CS1910121007	CS1910121007-3
CS1910121029	CS1910121029-1
CS1910121029	CS1910121029-2
CS1910121029	CS1910121029-3
CS1910121097	CS1910121097-1
CS1910121097	CS1910121097-2
CS1910121097	CS1910121097-3
CS1910121063	CS1910121063-1
CS1910121063	CS1910121063-2
CS1910121063	CS1910121063-3
CS1910121066	CS1910121066-1
CS1910121066	CS1910121066-2
CS1910121066	CS1910121066-3
CS1910121090	CS1910121090-1
CS1910121090	CS1910121090-2
CS1910121090	CS1910121090-3
CS1910121079	CS1910121079-1
CS1910121079	CS1910121079-2
CS1910121079	CS1910121079-3
CS1910121088	CS1910121088-1
CS1910121088	CS1910121088-2
CS1910121088	CS1910121088-3
CS1910121037	CS1910121037-1
CS1910121037	CS1910121037-2
CS1910121037	CS1910121037-3
CS1910121008	CS1910121008-1
CS1910121008	CS1910121008-2
CS1910121008	CS1910121008-3
CS1910121051	CS1910121051-1
CS1910121051	CS1910121051-2
CS1910121051	CS1910121051-3
CS1910121091	CS1910121091-1
CS1910121091	CS1910121091-2
CS1910121091	CS1910121091-3
CS1910121092	CS1910121092-1
CS1910121092	CS1910121092-2
CS1910121092	CS1910121092-3
CS1910121109	CS1910121109-1
CS1910121109	CS1910121109-2
CS1910121109	CS1910121109-3
