condition	sample
AnCg_Control	SRR3438555
AnCg_Control	SRR3438563
AnCg_Control	SRR3438564
AnCg_Control	SRR3438565
AnCg_Control	SRR3438566
AnCg_Control	SRR3438567
AnCg_Control	SRR3438568
AnCg_Control	SRR3438569
AnCg_Control	SRR3438570
AnCg_Control	SRR3438663
AnCg_Control	SRR3438681
AnCg_Control	SRR3438697
AnCg_Control	SRR3438698
AnCg_Control	SRR3438701
AnCg_Control	SRR3438702
AnCg_Control	SRR3438721
AnCg_Control	SRR3438760
AnCg_Control	SRR3438769
AnCg_Control	SRR3438780
AnCg_Control	SRR3438803
AnCg_Control	SRR3438827
AnCg_Control	SRR3438844
AnCg_Control	SRR3438849
AnCg_Control	SRR3438850
AnCg_Control	SRR3438858
AnCg_Control	SRR3438859
AnCg_Control	SRR3438860
AnCg_Control	SRR3438876
AnCg_Control	SRR3438889
AnCg_Control	SRR3438893
AnCg_Major_Depression	SRR3438556
AnCg_Major_Depression	SRR3438558
AnCg_Major_Depression	SRR3438581
AnCg_Major_Depression	SRR3438582
AnCg_Major_Depression	SRR3438583
AnCg_Major_Depression	SRR3438584
AnCg_Major_Depression	SRR3438669
AnCg_Major_Depression	SRR3438670
AnCg_Major_Depression	SRR3438699
AnCg_Major_Depression	SRR3438700
AnCg_Major_Depression	SRR3438703
AnCg_Major_Depression	SRR3438704
AnCg_Major_Depression	SRR3438719
AnCg_Major_Depression	SRR3438733
AnCg_Major_Depression	SRR3438734
AnCg_Major_Depression	SRR3438735
AnCg_Major_Depression	SRR3438736
AnCg_Major_Depression	SRR3438747
AnCg_Major_Depression	SRR3438767
AnCg_Major_Depression	SRR3438770
AnCg_Major_Depression	SRR3438792
AnCg_Major_Depression	SRR3438804
AnCg_Major_Depression	SRR3438805
AnCg_Major_Depression	SRR3438816
AnCg_Major_Depression	SRR3438818
AnCg_Major_Depression	SRR3438836
AnCg_Major_Depression	SRR3438837
AnCg_Major_Depression	SRR3438839
AnCg_Major_Depression	SRR3438848
AnCg_Major_Depression	SRR3438874
AnCg_Bipolar_Disorder	SRR3438557
AnCg_Bipolar_Disorder	SRR3438579
AnCg_Bipolar_Disorder	SRR3438580
AnCg_Bipolar_Disorder	SRR3438593
AnCg_Bipolar_Disorder	SRR3438594
AnCg_Bipolar_Disorder	SRR3438595
AnCg_Bipolar_Disorder	SRR3438596
AnCg_Bipolar_Disorder	SRR3438671
AnCg_Bipolar_Disorder	SRR3438680
AnCg_Bipolar_Disorder	SRR3438720
AnCg_Bipolar_Disorder	SRR3438731
AnCg_Bipolar_Disorder	SRR3438757
AnCg_Bipolar_Disorder	SRR3438758
AnCg_Bipolar_Disorder	SRR3438759
AnCg_Bipolar_Disorder	SRR3438791
AnCg_Bipolar_Disorder	SRR3438793
AnCg_Bipolar_Disorder	SRR3438806
AnCg_Bipolar_Disorder	SRR3438838
AnCg_Bipolar_Disorder	SRR3438865
AnCg_Bipolar_Disorder	SRR3438868
AnCg_Bipolar_Disorder	SRR3438871
AnCg_Bipolar_Disorder	SRR3438872
AnCg_Bipolar_Disorder	SRR3438875
AnCg_Bipolar_Disorder	SRR3438887
AnCg_Bipolar_Disorder	SRR3438890
AnCg_Bipolar_Disorder	SRR3438898
AnCg_Bipolar_Disorder	SRR3438900
nAcc_Schizophrenia	SRR3438559
nAcc_Schizophrenia	SRR3438562
nAcc_Schizophrenia	SRR3438639
nAcc_Schizophrenia	SRR3438640
nAcc_Schizophrenia	SRR3438649
nAcc_Schizophrenia	SRR3438650
nAcc_Schizophrenia	SRR3438651
nAcc_Schizophrenia	SRR3438652
nAcc_Schizophrenia	SRR3438657
nAcc_Schizophrenia	SRR3438658
nAcc_Schizophrenia	SRR3438664
nAcc_Schizophrenia	SRR3438674
nAcc_Schizophrenia	SRR3438740
nAcc_Schizophrenia	SRR3438761
nAcc_Schizophrenia	SRR3438762
nAcc_Schizophrenia	SRR3438763
nAcc_Schizophrenia	SRR3438786
nAcc_Schizophrenia	SRR3438796
nAcc_Schizophrenia	SRR3438819
nAcc_Schizophrenia	SRR3438820
nAcc_Schizophrenia	SRR3438841
nAcc_Schizophrenia	SRR3438842
nAcc_Schizophrenia	SRR3438891
nAcc_Schizophrenia	SRR3438902
nAcc_Schizophrenia	SRR3438903
nAcc_Schizophrenia	SRR3438904
nAcc_Schizophrenia	SRR3438905
nAcc_Control	SRR3438560
nAcc_Control	SRR3438561
nAcc_Control	SRR3438615
nAcc_Control	SRR3438616
nAcc_Control	SRR3438617
nAcc_Control	SRR3438618
nAcc_Control	SRR3438619
nAcc_Control	SRR3438620
nAcc_Control	SRR3438621
nAcc_Control	SRR3438622
nAcc_Control	SRR3438623
nAcc_Control	SRR3438624
nAcc_Control	SRR3438661
nAcc_Control	SRR3438672
nAcc_Control	SRR3438673
nAcc_Control	SRR3438737
nAcc_Control	SRR3438738
nAcc_Control	SRR3438779
nAcc_Control	SRR3438785
nAcc_Control	SRR3438795
nAcc_Control	SRR3438797
nAcc_Control	SRR3438807
nAcc_Control	SRR3438808
nAcc_Control	SRR3438810
nAcc_Control	SRR3438852
nAcc_Control	SRR3438856
nAcc_Control	SRR3438897
DLPFC_Bipolar_Disorder	SRR3438571
DLPFC_Bipolar_Disorder	SRR3438572
DLPFC_Bipolar_Disorder	SRR3438577
DLPFC_Bipolar_Disorder	SRR3438578
DLPFC_Bipolar_Disorder	SRR3438627
DLPFC_Bipolar_Disorder	SRR3438628
DLPFC_Bipolar_Disorder	SRR3438631
DLPFC_Bipolar_Disorder	SRR3438632
DLPFC_Bipolar_Disorder	SRR3438665
DLPFC_Bipolar_Disorder	SRR3438667
DLPFC_Bipolar_Disorder	SRR3438695
DLPFC_Bipolar_Disorder	SRR3438696
DLPFC_Bipolar_Disorder	SRR3438718
DLPFC_Bipolar_Disorder	SRR3438728
DLPFC_Bipolar_Disorder	SRR3438743
DLPFC_Bipolar_Disorder	SRR3438753
DLPFC_Bipolar_Disorder	SRR3438755
DLPFC_Bipolar_Disorder	SRR3438789
DLPFC_Bipolar_Disorder	SRR3438800
DLPFC_Bipolar_Disorder	SRR3438812
DLPFC_Bipolar_Disorder	SRR3438825
DLPFC_Bipolar_Disorder	SRR3438845
DLPFC_Bipolar_Disorder	SRR3438846
DLPFC_Bipolar_Disorder	SRR3438847
DLPFC_Bipolar_Disorder	SRR3438866
DLPFC_Bipolar_Disorder	SRR3438870
DLPFC_Bipolar_Disorder	SRR3438895
DLPFC_Bipolar_Disorder	SRR3438906
DLPFC_Major_Depression	SRR3438573
DLPFC_Major_Depression	SRR3438574
DLPFC_Major_Depression	SRR3438575
DLPFC_Major_Depression	SRR3438576
DLPFC_Major_Depression	SRR3438603
DLPFC_Major_Depression	SRR3438604
DLPFC_Major_Depression	SRR3438605
DLPFC_Major_Depression	SRR3438606
DLPFC_Major_Depression	SRR3438607
DLPFC_Major_Depression	SRR3438608
DLPFC_Major_Depression	SRR3438609
DLPFC_Major_Depression	SRR3438610
DLPFC_Major_Depression	SRR3438675
DLPFC_Major_Depression	SRR3438676
DLPFC_Major_Depression	SRR3438693
DLPFC_Major_Depression	SRR3438694
DLPFC_Major_Depression	SRR3438717
DLPFC_Major_Depression	SRR3438744
DLPFC_Major_Depression	SRR3438756
DLPFC_Major_Depression	SRR3438775
DLPFC_Major_Depression	SRR3438777
DLPFC_Major_Depression	SRR3438778
DLPFC_Major_Depression	SRR3438801
DLPFC_Major_Depression	SRR3438802
DLPFC_Major_Depression	SRR3438814
DLPFC_Major_Depression	SRR3438833
DLPFC_Major_Depression	SRR3438834
DLPFC_Major_Depression	SRR3438867
DLPFC_Major_Depression	SRR3438877
DLPFC_Major_Depression	SRR3438884
DLPFC_Major_Depression	SRR3438885
AnCg_Schizophrenia	SRR3438585
AnCg_Schizophrenia	SRR3438586
AnCg_Schizophrenia	SRR3438587
AnCg_Schizophrenia	SRR3438588
AnCg_Schizophrenia	SRR3438589
AnCg_Schizophrenia	SRR3438590
AnCg_Schizophrenia	SRR3438591
AnCg_Schizophrenia	SRR3438592
AnCg_Schizophrenia	SRR3438679
AnCg_Schizophrenia	SRR3438682
AnCg_Schizophrenia	SRR3438722
AnCg_Schizophrenia	SRR3438732
AnCg_Schizophrenia	SRR3438745
AnCg_Schizophrenia	SRR3438746
AnCg_Schizophrenia	SRR3438748
AnCg_Schizophrenia	SRR3438768
AnCg_Schizophrenia	SRR3438781
AnCg_Schizophrenia	SRR3438782
AnCg_Schizophrenia	SRR3438794
AnCg_Schizophrenia	SRR3438815
AnCg_Schizophrenia	SRR3438817
AnCg_Schizophrenia	SRR3438828
AnCg_Schizophrenia	SRR3438829
AnCg_Schizophrenia	SRR3438830
AnCg_Schizophrenia	SRR3438853
AnCg_Schizophrenia	SRR3438862
AnCg_Schizophrenia	SRR3438864
AnCg_Schizophrenia	SRR3438894
DLPFC_Control	SRR3438597
DLPFC_Control	SRR3438598
DLPFC_Control	SRR3438599
DLPFC_Control	SRR3438600
DLPFC_Control	SRR3438601
DLPFC_Control	SRR3438602
DLPFC_Control	SRR3438611
DLPFC_Control	SRR3438612
DLPFC_Control	SRR3438666
DLPFC_Control	SRR3438677
DLPFC_Control	SRR3438678
DLPFC_Control	SRR3438691
DLPFC_Control	SRR3438692
DLPFC_Control	SRR3438715
DLPFC_Control	SRR3438716
DLPFC_Control	SRR3438729
DLPFC_Control	SRR3438730
DLPFC_Control	SRR3438741
DLPFC_Control	SRR3438754
DLPFC_Control	SRR3438788
DLPFC_Control	SRR3438799
DLPFC_Control	SRR3438811
DLPFC_Control	SRR3438813
DLPFC_Control	SRR3438823
DLPFC_Control	SRR3438843
DLPFC_Control	SRR3438854
DLPFC_Control	SRR3438861
DLPFC_Control	SRR3438880
DLPFC_Control	SRR3438881
DLPFC_Control	SRR3438886
DLPFC_Schizophrenia	SRR3438613
DLPFC_Schizophrenia	SRR3438614
DLPFC_Schizophrenia	SRR3438629
DLPFC_Schizophrenia	SRR3438630
DLPFC_Schizophrenia	SRR3438633
DLPFC_Schizophrenia	SRR3438634
DLPFC_Schizophrenia	SRR3438668
DLPFC_Schizophrenia	SRR3438713
DLPFC_Schizophrenia	SRR3438714
DLPFC_Schizophrenia	SRR3438727
DLPFC_Schizophrenia	SRR3438742
DLPFC_Schizophrenia	SRR3438764
DLPFC_Schizophrenia	SRR3438765
DLPFC_Schizophrenia	SRR3438766
DLPFC_Schizophrenia	SRR3438776
DLPFC_Schizophrenia	SRR3438787
DLPFC_Schizophrenia	SRR3438790
DLPFC_Schizophrenia	SRR3438824
DLPFC_Schizophrenia	SRR3438826
DLPFC_Schizophrenia	SRR3438835
DLPFC_Schizophrenia	SRR3438855
DLPFC_Schizophrenia	SRR3438857
DLPFC_Schizophrenia	SRR3438873
DLPFC_Schizophrenia	SRR3438878
DLPFC_Schizophrenia	SRR3438879
DLPFC_Schizophrenia	SRR3438882
DLPFC_Schizophrenia	SRR3438883
DLPFC_Schizophrenia	SRR3438892
DLPFC_Schizophrenia	SRR3438896
nAcc_Major_Depression	SRR3438625
nAcc_Major_Depression	SRR3438626
nAcc_Major_Depression	SRR3438637
nAcc_Major_Depression	SRR3438638
nAcc_Major_Depression	SRR3438641
nAcc_Major_Depression	SRR3438642
nAcc_Major_Depression	SRR3438645
nAcc_Major_Depression	SRR3438646
nAcc_Major_Depression	SRR3438647
nAcc_Major_Depression	SRR3438648
nAcc_Major_Depression	SRR3438683
nAcc_Major_Depression	SRR3438684
nAcc_Major_Depression	SRR3438685
nAcc_Major_Depression	SRR3438687
nAcc_Major_Depression	SRR3438688
nAcc_Major_Depression	SRR3438689
nAcc_Major_Depression	SRR3438690
nAcc_Major_Depression	SRR3438705
nAcc_Major_Depression	SRR3438706
nAcc_Major_Depression	SRR3438709
nAcc_Major_Depression	SRR3438710
nAcc_Major_Depression	SRR3438725
nAcc_Major_Depression	SRR3438750
nAcc_Major_Depression	SRR3438752
nAcc_Major_Depression	SRR3438771
nAcc_Major_Depression	SRR3438783
nAcc_Major_Depression	SRR3438784
nAcc_Major_Depression	SRR3438821
nAcc_Major_Depression	SRR3438831
nAcc_Major_Depression	SRR3438840
nAcc_Major_Depression	SRR3438863
nAcc_Major_Depression	SRR3438899
nAcc_Bipolar_Disorder	SRR3438635
nAcc_Bipolar_Disorder	SRR3438636
nAcc_Bipolar_Disorder	SRR3438643
nAcc_Bipolar_Disorder	SRR3438644
nAcc_Bipolar_Disorder	SRR3438653
nAcc_Bipolar_Disorder	SRR3438654
nAcc_Bipolar_Disorder	SRR3438655
nAcc_Bipolar_Disorder	SRR3438656
nAcc_Bipolar_Disorder	SRR3438659
nAcc_Bipolar_Disorder	SRR3438660
nAcc_Bipolar_Disorder	SRR3438662
nAcc_Bipolar_Disorder	SRR3438707
nAcc_Bipolar_Disorder	SRR3438711
nAcc_Bipolar_Disorder	SRR3438712
nAcc_Bipolar_Disorder	SRR3438723
nAcc_Bipolar_Disorder	SRR3438724
nAcc_Bipolar_Disorder	SRR3438726
nAcc_Bipolar_Disorder	SRR3438739
nAcc_Bipolar_Disorder	SRR3438749
nAcc_Bipolar_Disorder	SRR3438751
nAcc_Bipolar_Disorder	SRR3438772
nAcc_Bipolar_Disorder	SRR3438773
nAcc_Bipolar_Disorder	SRR3438774
nAcc_Bipolar_Disorder	SRR3438798
nAcc_Bipolar_Disorder	SRR3438809
nAcc_Bipolar_Disorder	SRR3438822
nAcc_Bipolar_Disorder	SRR3438832
nAcc_Bipolar_Disorder	SRR3438851
nAcc_Bipolar_Disorder	SRR3438869
nAcc_Bipolar_Disorder	SRR3438901
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835803
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835804
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835805
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835806
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835807
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835808
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835809
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835810
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835811
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835812
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835813
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835814
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835815
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835816
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835818
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835819
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835820
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835821
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835822
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835823
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835824
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835825
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835826
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835827
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835828
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835829
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835830
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835831
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835832
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835833
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835834
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835835
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835836
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835837
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835838
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835839
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835840
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835841
Cerebellar_Cortex_anterior_and_posterior_quadrangulate_lobules	SRR9835842
